hatrho_wq_J;var_wq_J;hatrho_J;hateta3_J;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;n;rho;alpha;jn;var_source_Gamma1_2;var_source_Gamma1_3
0.0207149689184167;0.000408748125431428;1;0.00812898310791541;0.00109396419714393;0;3.53010238594964e-05;100;1;1.2;251;8.65873438460531e-06;8.35386689665924e-06
-0.048413734927296;0.00034989252948645;1;-0.00685810838587733;0.000752091627243022;0;-2.4289798646351e-05;100;1;1.2;251;4.07674720808029e-06;3.90296957608667e-06
0.0271470191367238;0.000335932115534731;1;0.00150386980518015;0.000924517960675794;0;6.24738764305351e-06;100;1;1.2;251;5.59834853639098e-06;5.78460975531502e-06
-0.0380294999315395;0.00046854068602876;1;0.0209925738904208;0.000976840374668089;0;8.37293941537741e-05;100;1;1.2;251;7.95274096204978e-06;7.92952534618404e-06
0.0268676795362626;0.000415792638699566;1;-0.0209930927748651;0.000707128256795248;0;-8.27905335577987e-05;100;1;1.2;251;6.68015213018391e-06;6.65639545812177e-06
0.00251302178493552;0.000451554410649856;1;-0.00997720284592397;0.000987123108462616;0;-3.93508477192233e-05;100;1;1.2;251;5.06893014792811e-06;4.8585842175484e-06
-0.0214644484178729;0.000486087220517128;1;-0.025728232687166;0.000810207276259221;0;-0.000102216713837041;100;1;1.2;251;7.23996956286425e-06;7.34584541373532e-06
0.0133230797533575;0.000381654915052554;1;0.0181685304288615;0.00116274349372155;0;7.24601959957397e-05;100;1;1.2;251;5.12899385848523e-06;5.13557144753735e-06
0.0131142030531529;0.000465284011512848;1;0.0289770406280449;0.00125117261170636;0;0.000115902347404697;100;1;1.2;251;6.43387205357146e-06;6.45908334364243e-06
-0.0320243283152208;0.000483146585473837;1;0.00515082488260228;0.000918652781639186;0;2.05799305023205e-05;100;1;1.2;251;7.75473684430117e-06;7.78258419277842e-06
-0.0168487693551992;0.000459513527708004;1;-0.0181360139667601;0.000572424283630043;0;-7.17626665126802e-05;100;1;1.2;251;6.38436541634117e-06;6.22165184750479e-06
-0.012799790738167;0.000459455959876424;1;-0.0129928455758038;0.000641385786251392;0;-5.1515739786484e-05;100;1;1.2;251;7.22468740612723e-06;7.05376752096787e-06
-0.0180817943335641;0.000435973410201356;1;0.0121827665024058;0.000847423881731374;0;5.13041447288184e-05;100;1;1.2;251;5.17189610594129e-06;4.96349524649274e-06
-0.0138375008430381;0.000462607848862959;1;-0.00502986793016034;0.000915724927348197;0;-1.99916997204805e-05;100;1;1.2;251;4.72198091813616e-06;4.67653875508489e-06
0.0224409503781915;0.000391879540274209;1;0.0163031624524804;0.000758469006066009;0;7.33392423603621e-05;100;1;1.2;251;6.69710276059428e-06;6.17732483664674e-06
-0.0231107219183157;0.000388599739954101;1;-0.00246770205787216;0.000569082629382586;0;-9.8152403894402e-06;100;1;1.2;251;4.13553884543881e-06;4.12756559416736e-06
-0.000751104366280591;0.000376615506826454;1;-0.028319659388232;0.000748372096374696;0;-0.000111466569665909;100;1;1.2;251;7.93443898474282e-06;7.15510085983366e-06
