hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;n;rho;alpha;jn;var_source_Gamma1_2;var_source_Gamma1_full
1;0.587119669374351;0.53865568575566;0.0967400727370857;0.0156384959186964;0.00151166783431445;200;1;1.2;577;0.0258440441616261;0.0157926947365315
1;0.787343289792874;0.628185845912413;0.086312461296805;0.00658071053383899;0.00194250035292267;200;1;1.2;577;0.0257000367425997;0.0211055329799201
1;0.563949380714776;0.507216208668811;0.0486672450740882;0.0105870612735744;0.00143491027738352;200;1;1.2;577;0.0115486544149865;0.00965592919355221
1;0.246884224944778;0.265489635194773;0.0311657828244606;0.000328932293181072;0.000583977469555978;200;1;1.2;577;0.00814288330339198;0.005466748917597
1;0.349794822465848;0.450932585615299;0.0386998424900962;0.0161371836572187;0.000963608058353468;200;1;1.2;577;0.0100749746431785;0.0121018378911112
1;0.663769887494626;0.46539182444509;0.0885334533598063;0.0064294766813069;0.00167299192022767;200;1;1.2;577;0.0227953901199964;0.0101086787450204
1;0.428670557616381;0.489811938928834;0.0652025012871573;0.00857267676086886;0.00112197804718932;200;1;1.2;577;0.0154896782857357;0.0142536526491218
1;0.295345504872489;0.383368436266582;0.0604729413428784;0.00367702600566775;0.000689252303651796;200;1;1.2;577;0.0105531119893833;0.00963523597875924
1;0.333956521758133;0.42373402613005;0.0288919797044407;0.00158519075930843;0.00101671644574314;200;1;1.2;577;0.00857594306013408;0.00835600451981921
1;0.397153703309006;0.493899412601913;0.0411765825105794;0.0161472410324485;0.00114654848607804;200;1;1.2;577;0.0131498964061832;0.0122393037477429
1;0.307960500736612;0.326208483035991;0.0269495353987911;0.00905072047079002;0.000720823588222987;200;1;1.2;577;0.00725563383435161;0.00651366211773052
1;0.430756134181782;0.4957014222953;0.0451757116822147;0.0039145670173325;0.00116257520647663;200;1;1.2;577;0.0118652609590907;0.00980488061076054
1;0.351319467049727;0.288906687983276;0.0367176434328627;0.00953002580221946;0.000866084868798155;200;1;1.2;577;0.00894238695614562;0.00406812847462763
1;0.530751881692728;0.628171680610923;0.0743764598891034;0.0132756495778568;0.0015330788975507;200;1;1.2;577;0.0248142004947751;0.0222555650598056
1;0.375917605656563;0.527701520102942;0.0491292975455244;0.0218023967800118;0.00104238000903695;200;1;1.2;577;0.0129155039084116;0.0141393393232614
1;0.671785978523085;0.669028815664815;0.118738944269509;0.0024382286832478;0.00182944735311183;200;1;1.2;577;0.02500628061597;0.0207186098729526
1;0.548804822531638;0.605479165815206;0.0749648408181425;0.000514605740497163;0.00149790829485281;200;1;1.2;577;0.0234332485561852;0.0185389502348354
1;0.256553005627944;0.262114111522643;0.0244621840104373;0.000842739797555954;0.000567281498364586;200;1;1.2;577;0.00624786936636339;0.00585298567054652
1;0.634344365741684;0.482255950757091;0.0792724386660359;0.00123976869596414;0.00152276369609793;200;1;1.2;577;0.0199598039812296;0.0109859885780867
1;0.536496729928454;0.562946248786269;0.0883878733513076;0.0108146113060463;0.00139364389003874;200;1;1.2;577;0.015139065934942;0.0133700222834831
