hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;jn;var_source_Gamma1_2;var_source_Gamma1_full;hatrho_J2;hateta3_J2;hateta3_full2;var2_source_Gamma1;var2_source_Gamma2;var2_source_Gamma3;jn2;var2_source_Gamma1_2;var2_source_Gamma1_full;n1;n2;rho1;rho2;alpha;r
0.400197442647615;0.0225611112703352;-0.000839431270680624;0.00221053811791639;0.00236918945297424;1.33240378892079e-05;10636;0.000706916130804675;1.10294968658933e-05;0.501225433526002;0.00610891999361227;-0.000735179883269238;0.000557102114745744;0.00344327816392815;1.21302718960502e-06;21625;0.000181122343768461;3.25241714813052e-06;200;300;0.4;0.5;1.75;3
0.401247336091265;-0.00993056560220015;-0.000100540600909232;0.00162256033507813;0.00036609553573998;-5.77976741895506e-06;10636;0.000482165658298216;0.000100481426116872;0.498612716762997;-0.00697797411091489;0.000138742379297708;0.00079065944786206;0.00630272508694467;-1.28206841227983e-06;21625;0.000217624071032133;6.59867340856824e-05;200;300;0.4;0.5;1.75;3
0.397611884166983;-0.0364333888049908;0.000880191000268471;0.00162805413467542;0.00680604824755806;-2.14391469357747e-05;10636;0.000499904295782682;0.000202786801354602;0.498982658959528;0.0125474621496272;0.00129866992716624;0.000632708855577429;0.000714065604754964;2.38184765861381e-06;21625;0.000187336943054947;0.000115081546859392;200;300;0.4;0.5;1.75;3
0.393192929672811;0.0269349154694865;0.00154788186807128;0.00184034797422607;0.0022391270127723;1.63895183866597e-05;10636;0.000603006835597414;0.000252731476308267;0.499344894026966;0.00868472427852959;0.00347688906707635;0.000762472024258218;0.00198610519712639;1.74071729895124e-06;21625;0.000182590551769791;0.000185779884105802;200;300;0.4;0.5;1.75;3
0.403425473235555;-0.025079430248419;-0.000558952621081626;0.00158570755146419;0.00309299580037211;-1.40734384468322e-05;10636;0.000439037516645907;6.70469752918441e-05;0.498173410404615;0.00810509946244657;0.00169515686815756;0.000577811659937497;0.000389485456337701;1.51029745635926e-06;21625;0.000169559911240569;0.00012192798858178;200;300;0.4;0.5;1.75;3
0.403112072207599;0.0117884594474368;-0.000799775126682434;0.00149715296005434;0.00494033442894736;6.82216499113233e-06;10636;0.00067868771877663;2.0443186681209e-05;0.500493256262033;-0.00143309672512082;-0.000932015637961833;0.000895475777554584;0.000796402826847869;-1.7649207206036e-07;21625;0.000323606153558975;1.09222545163728e-05;200;300;0.4;0.5;1.75;3
0.395966528770217;-0.011334821535027;-0.000995735734768119;0.00163975946626537;0.00639783732288538;-6.79111413946537e-06;10636;0.000596544820513762;1.5051301019611e-05;0.499283236994211;0.00613006535508874;-0.000160445627117222;0.000574374604279819;0.00210211856458116;1.14368830513956e-06;21625;0.000189698035807376;3.06110345957844e-05;200;300;0.4;0.5;1.75;3
0.400698884292343;0.0396239860776908;2.87640451852725e-05;0.00247122079869827;0.00196354542107527;2.32158132171327e-05;10636;0.000752587086932092;0.000129009357039571;0.50092485549132;-0.00741859826486958;-0.000623328435301949;0.000531413670367771;0.000435909633582857;-1.33519960428082e-06;21625;0.000139208298819586;4.32678987947898e-06;200;300;0.4;0.5;1.75;3
0.396640340980321;-0.0227696974898878;-0.000751960989582034;0.00095212146362231;0.000309121255360052;-1.3607565955065e-05;10636;0.000376047437525836;1.11317570691531e-05;0.496670520231205;0.0247580112943142;-0.000671765210940591;0.000620804294265594;6.1849449978518e-05;4.65395622169092e-06;21625;0.000198225631566454;9.50668294775346e-06;200;300;0.4;0.5;1.75;3
0.395261376457317;0.0515517013533264;0.00241264297697959;0.00238503287403737;0.00188407653608735;3.16178302422922e-05;10636;0.000470549195902651;0.000356757868735791;0.499645472061648;0.0279179035054752;0.000814966358536966;0.000695342101273145;0.00160860722206338;5.18755903455029e-06;21625;0.000204323836455232;9.86758616748025e-05;200;300;0.4;0.5;1.75;3
0.400150432493421;0.00344208346329244;-0.00110731802375443;0.00141696685458949;0.0101290113299306;2.02300754274839e-06;10636;0.000408612101548922;8.958843266396e-06;0.500462427745655;0.0053446473539967;-0.00031542254324314;0.000697853946544467;0.000535813256003181;9.87453123862704e-07;21625;0.000255186177182948;2.88429799306394e-05;200;300;0.4;0.5;1.75;3
0.405509590071458;0.0174079165746861;-8.84620005757667e-05;0.00185488179397115;0.00438441296130102;1.00849823703555e-05;10636;0.000704364626022649;7.91489356802022e-05;0.498905587668584;-0.0171117711434844;-0.0002506229686741;0.000618282665522796;0.000746815214462067;-3.16801702171291e-06;21625;0.000223612091832529;3.127330447936e-05;200;300;0.4;0.5;1.75;3
0.39805064560612;0.0135489078946358;-0.000574096390427095;0.00147161909861251;0.00222140180333595;8.04610756150737e-06;10636;0.00071608897748907;3.54503814002842e-05;0.500146435452785;-0.0185074548687978;-0.00097320569114017;0.000511837721684097;0.000524825078793278;-3.42083119089153e-06;21625;0.000153034231816244;6.49099704424077e-06;200;300;0.4;0.5;1.75;3
0.397329823241823;-0.0345916789204802;0.000146021402325065;0.00122140522498047;0.00426672186619467;-2.03429969087431e-05;10636;0.000491793907771849;5.68282664019078e-05;0.499144508670511;-0.00803985606122725;-0.000843076755983247;0.000520882589426157;0.000253598888412732;-1.48717268156006e-06;21625;0.000179314008717794;3.22119520352924e-06;200;300;0.4;0.5;1.75;3
0.399962391876648;-0.00214061436367184;-0.000253811258448096;0.00218265799612214;0.00854526566450378;-8.18990518849609e-07;10636;0.00062601534608172;3.43140834323989e-05;0.500955684007698;-0.0166089597625459;-0.000446086711252787;0.000505802216330678;0.00198199843057516;-3.05182482024281e-06;21625;0.00020111122035622;1.62219536597246e-05;200;300;0.4;0.5;1.75;3
0.394634574401406;-0.0293124367263281;-0.000468647958612929;0.00183184771283053;0.00589599004480706;-1.7196354177563e-05;10636;0.000657099858024734;0.000104926341936392;0.501564547206157;0.00576251966523647;-0.000783555104770371;0.000657531654801707;0.00238864580617048;1.08571863345393e-06;21625;0.000265517784882741;2.37453098275918e-06;200;300;0.4;0.5;1.75;3
0.398661777610633;-0.014790600222208;-0.00144525740083378;0.00270778887129009;0.0053841533060091;-8.01711707277043e-06;10636;0.000836177345979808;3.05308554461864e-05;0.502581888246619;-0.0151653590430028;-0.000788878012751514;0.000435071693749191;0.000272474923359445;-2.76988382925067e-06;21625;0.000157639646321203;2.01129289072972e-06;200;300;0.4;0.5;1.75;3
