hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;n;rho;alpha;jn;var_source_Gamma1_2;var_source_Gamma1_full
0.202833145292715;0.317886234154652;0.0148616277034745;0.0488162609413931;0.0383003135671488;0.00103756251290095;200;0.2;1.75;10636;0.00830887823085005;0.0105461240519331
0.198210480130374;0.790750319943171;0.0220670038971504;0.0779774593773391;0.138324067064948;0.00273838517730986;200;0.2;1.75;10636;0.0127172235743692;0.017062885718357
0.201673561489281;0.215597340418006;0.00979267603856458;0.0160169014552695;0.0039701877151869;0.000757574735049646;200;0.2;1.75;10636;0.00357303183124126;0.00430401366313799
0.205262003259369;0.434370788544241;0.0205475080131934;0.0449064121668676;0.0119085758450384;0.00160690303174264;200;0.2;1.75;10636;0.0101371487651832;0.0130035723788563
0.197662028331452;0.471367444217239;0.0157063800290474;0.0513790748441488;0.010605198119482;0.00166996539627955;200;0.2;1.75;10636;0.00760379261949385;0.0101248627431478
0.20350695750282;0.507254735468786;0.0214528264245512;0.046789529574716;0.0265550992389222;0.00186139507976145;200;0.2;1.75;10636;0.00985638142207254;0.0179782766820575
0.202316033596589;0.554869777328706;0.022931982362494;0.0494938180120567;0.119534417367397;0.00217134572521294;200;0.2;1.75;10636;0.00927684411925585;0.0131680929103718
0.19886862228908;0.511690595630717;0.0190001064059539;0.0571301420568873;0.0585832084391776;0.00167107549782668;200;0.2;1.75;10636;0.0102308255123006;0.018864489754501
0.198053779616396;0.578034411786128;0.0220061491938766;0.0560958015771312;0.0557744875554555;0.00209394168866059;200;0.2;1.75;10636;0.00978178117311382;0.0185937324799257
0.202269023442396;0.673829324755103;0.022542989785595;0.0849208091112477;0.108743044075237;0.00212504051509313;200;0.2;1.75;10636;0.0128110956830377;0.0181439091833404
0.190171743763319;0.452272303116293;0.0208792717727528;0.100936999128992;0.215238090845404;0.00171304736401354;200;0.2;1.75;10636;0.0166776018994482;0.0248380037845579
0.198508211106931;0.543155159267759;0.0185340539173875;0.0604210609991362;0.101691734553534;0.00197769177830746;200;0.2;1.75;10636;0.0108641173873638;0.0100197337080719
0.201720571643474;0.279757841172988;0.0113707544395968;0.0366009518626007;0.0385742891580478;0.000844780005064405;200;0.2;1.75;10636;0.00788877914152991;0.00786500402144963
0.1994327441394;0.477816626230161;0.0159428144222349;0.0914304452540425;0.038043419653071;0.00144254503110742;200;0.2;1.75;10636;0.0134452069874597;0.0160855305518682
0.195859972420709;0.838591894310502;0.0240409808525196;0.132550514164531;0.220479050013755;0.00302624185316298;200;0.2;1.75;10636;0.0167805199282144;0.0221411337386775
0.197364297354894;0.408840996168061;0.0145783107441203;0.0314084949565325;0.0209164955263531;0.00144116254011017;200;0.2;1.75;10636;0.00827975988771604;0.0106474099500082
0.200043876143913;0.429049264799873;0.0157008300181295;0.0424467721895773;0.0204288881244955;0.00132136206484086;200;0.2;1.75;10636;0.00899892728856333;0.0135270870136767
