hateta3_wq_J;var_wq_J;hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;n;rho;alpha;jn;var_source_Gamma1_2;var_source_Gamma1_full
0;0;0.198053779616396;-0.0195973130921347;-0.000164244934966843;0.00250470937213644;0.00379417630695475;-4.38356522267188e-05;200;0.2;1.75;10636;0.000774067486279495;1.60866399652372e-05
0;0;0.202269023442396;-0.0204449763747866;3.43001339181434e-05;0.00280464761511825;0.00708687117223909;-4.66373453233796e-05;200;0.2;1.75;10636;0.000865693329776059;1.94435069403337e-05
0;0;0.190171743763319;0.0371622896736565;-0.0001777318261565;0.00252642047731488;0.00417058427219226;9.74235523788143e-05;200;0.2;1.75;10636;0.000858412343958372;1.6875703999065e-05
0;0;0.198508211106931;-0.0142782995236623;5.31065471794315e-05;0.00247687786973936;0.00346905016326018;-3.39225568442782e-05;200;0.2;1.75;10636;0.000848781490919352;2.0267501514821e-05
0;0;0.201720571643474;0.0180525202826622;4.2813165209345e-05;0.00225204115224943;0.00827067909011135;4.17406077635477e-05;200;0.2;1.75;10636;0.000778884360776308;1.66955820479916e-05
0;0;0.1994327441394;-0.000723209945328002;0.000142209637190047;0.00258580976982773;0.00237023807804953;7.23715990174695e-08;200;0.2;1.75;10636;0.00086523613489436;2.59705395368391e-05
0;0;0.195859972420709;0.0391442042634777;0.00010900932777869;0.0024695039599068;0.000932396407978655;9.75065606910659e-05;200;0.2;1.75;10636;0.000753158828887917;2.2086257133848e-05
0;0;0.197364297354894;0.0114066272813803;-4.09449658646225e-05;0.00196021431849665;0.00231110046507946;2.75329741578357e-05;200;0.2;1.75;10636;0.000724933570096156;1.81035361730727e-05
0;0;0.200043876143913;0.0113692580120021;-6.41435405802159e-05;0.0022853353802279;0.00326148294398232;2.69312295717552e-05;200;0.2;1.75;10636;0.00082315094527277;1.71777629981188e-05
0;0;0.198555221261125;0.0512778284430692;-0.000236922888360922;0.00229557528078166;0.0104833819805902;0.000124263591907332;200;0.2;1.75;10636;0.000798830905807986;1.29053511731809e-05
0;0;0.198664911620909;-0.0402496754457839;-2.55783501887888e-05;0.00225938410330615;0.00506053629600124;-9.58184058226903e-05;200;0.2;1.75;10636;0.000747103919249333;1.64789173780897e-05
0;0;0.20132882035853;-0.0165862339954556;7.72024833298275e-05;0.00240217572841792;0.00517563286010123;-3.84728722376376e-05;200;0.2;1.75;10636;0.000728356187172655;1.91810677113255e-05
0;0;0.20280180518992;0.00601448536878904;0.000122939089382153;0.0024478478405767;0.00109583773844144;1.53375428942156e-05;200;0.2;1.75;10636;0.000741799690760116;2.07696153016302e-05
0;0;0.203224896577659;-0.0185560568868218;-0.000119533262441135;0.00242695958798796;0.00415335811195051;-4.06400291058507e-05;200;0.2;1.75;10636;0.00074482942850702;1.15381471813102e-05
0;0;0.199840165475742;-0.00136477409089873;0.000133557981179694;0.00224325270495414;0.00458128789164587;-2.98510481240182e-06;200;0.2;1.75;10636;0.000952549264123286;2.20562994106779e-05
0;0;0.197646358280054;0.00725630836473866;0.000217860670325711;0.00234292739022866;0.00699107073352458;1.79421354026482e-05;200;0.2;1.75;10636;0.000796893549916353;3.0261966024942e-05
0;0;0.204384480381094;-0.0134742823077776;4.9758816860991e-05;0.00207108748575438;0.00361572343357165;-3.02669582374844e-05;200;0.2;1.75;10636;0.000694531601309837;2.0048030515935e-05
0;0;0.2022376833396;-0.0214988275037735;-7.56786245102323e-05;0.00251890329584523;0.00207252022793877;-4.91023861394135e-05;200;0.2;1.75;10636;0.000699694056260042;1.56245265342619e-05
