hateta3_wq_J;var_wq_J;hateta3_wq;var_wq;hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;n;rho;alpha;jn;var_source_Gamma1_2;var_source_Gamma1_full
0.155455180411218;1.51677168504647e-05;0.162805690106349;0.00196460810966473;0.50074202173325;0.653689355067628;0.162805690106349;0.0531637933878002;NaN;0.000195996211528741;200;0.5;2.1;67945;0.03135309160455;0.0312478239118492
0.145415808560551;1.21713752131653e-05;0.143709569657141;0.00150580502102206;0.498173767998612;0.579599072603175;0.143709569657141;0.040971678784892;NaN;0.000182399028855528;200;0.5;2.1;67945;0.0238226782208422;0.0244481115878346
0.140104827356914;1.30053917250079e-05;0.145756504530737;0.00149718376457371;0.498463217798695;0.622998551117557;0.145756504530737;0.0472858751444439;NaN;0.000181770397652894;200;0.5;2.1;67945;0.023698590548853;0.0242517254002864
0.113868948804908;1.05779794298493e-05;0.113633618966616;0.00126527095890199;0.499492236367635;0.450619534365791;0.113633618966616;0.0320721626226468;NaN;0.000153899080455363;200;0.5;2.1;67945;0.0204791618142422;0.020326779244159
0.0999264091417668;1.09680298003843e-05;0.108077435161953;0.00147688152741335;0.496403954178611;0.443283018110921;0.108077435161953;0.035305145542024;NaN;0.000148907421460297;200;0.5;2.1;67945;0.0242974551172858;0.0243223049518631
0.144147551263567;1.35621142595773e-05;0.153644146440287;0.00167715800086097;0.498290283807968;0.612604930644709;0.153644146440287;0.0480836501298718;NaN;0.000186888210944925;200;0.5;2.1;67945;0.0280481667764632;0.0272047226491041
0.0669038539414393;6.84923797698815e-06;0.0614213163043786;0.000561720112704046;0.50179066401745;0.263111370075377;0.0614213163043787;0.0155000613627708;NaN;0.000109290090093814;200;0.5;2.1;67945;0.00859736939655464;0.00885991727440622
0.137462061330767;1.28556464629717e-05;0.139872785205404;0.00152412653491885;0.499513086565099;0.559756042098155;0.139872785205404;0.0395441576289227;NaN;0.000168260333611769;200;0.5;2.1;67945;0.0245868602557244;0.0244812473358663
0.136003730632213;2.37815101854151e-05;0.136809247089784;0.00281353211624258;0.496208943508215;0.600759546233197;0.136809247089784;0.0697706251900074;NaN;0.000167764664172517;200;0.5;2.1;67945;0.045840679990986;0.0464080720375355
0.141235430169528;1.42817497851115e-05;0.14844807721702;0.00201290019229866;0.496852846665181;0.620038129504039;0.14844807721702;0.0582196703444921;NaN;0.000185786947631417;200;0.5;2.1;67945;0.0332689276882721;0.0330301930291067
0.120087173948335;9.10043115063091e-06;0.125232209740711;0.00102054826269833;0.501367527657158;0.492588475480124;0.125232209740711;0.0295049214456869;NaN;0.000163033203447288;200;0.5;2.1;67945;0.016042122780874;0.0161513466509376
0.0594777351030795;5.29141432269304e-06;0.0588397616349348;0.000435588056685836;0.498706061275036;0.241028813254497;0.0588397616349353;0.0131070826422594;NaN;0.000114491201595087;200;0.5;2.1;67945;0.00699821579596335;0.00704202198729599
0.119615696593202;1.27112144054783e-05;0.130882482682689;0.00160729728124337;0.497716290136616;0.510831543735656;0.13088248268269;0.0417427757380543;NaN;0.000169667205863366;200;0.5;2.1;67945;0.0268705975409338;0.0261920076409971
0.130361509897588;1.26000912363615e-05;0.131042800337725;0.0015558588957687;0.503729732381568;0.522010512083468;0.131042800337725;0.0408155303084853;NaN;0.00016232538343378;200;0.5;2.1;67945;0.0239616270403004;0.0241646141474583
0.1223016952927;1.04657340423884e-05;0.129772786665677;0.00139171497943994;0.49912674467092;0.506511688534986;0.129772786665677;0.03706140467102;NaN;0.000168027519669673;200;0.5;2.1;67945;0.0226928980049977;0.0224236825573113
0.105469052764682;8.00369665595794e-06;0.106538411303;0.000843647499904981;0.498794367993706;0.430319027989444;0.106538411303;0.0268845533065467;NaN;0.000156205988438716;200;0.5;2.1;67945;0.0135273217505024;0.0136293410589619
